time_to_detection,area_covered_pct,probability_mass_covered,overlap_ratio,battery_used,successful_returns_to_base,forced_low_battery_returns,comms_failures,stale_information_events,path_efficiency,average_overlap_per_step,detection_under_comms_mode,entropy_reduction_over_time,information_gain_per_step,belief_peak_accuracy,time_to_first_candidate_detection,time_to_confirmed_detection,false_alarm_count,reroute_count,coordination_efficiency,return_to_base_efficiency,mission_success,strategy,seed,scenario_family,target_behavior,coordination_mode,drone_count,battery_budget,sensor_mode,steps_completed
,100.0,1.0000000000000004,0.9419915453264444,193.10000000000005,0,0,123,94,1.2552934059286147,0.23479676497854537,centralized,3.3734706206112035,0.17379756512500122,0.00022787402827233733,1,,4,165,0.4290042273367779,1.0,False,random_sweep,0,open_terrain,terrain_biased,centralized,4,120.0,thermal_visual,45
,98.78542510121457,0.9956867675211816,0.9402253797158255,218.5000000000001,0,0,56,33,0.8685162846803375,0.16568274101884603,centralized,3.3510221260001583,0.07689750677632948,1.8968711779184602e-10,3,,6,160,0.417741561154233,1.0,False,sector_search,0,open_terrain,terrain_biased,centralized,4,120.0,thermal_visual,45
6.0,61.53846153846154,0.7964042965525843,0.7583465818759937,27.600000000000023,0,0,6,5,1.4645669291338583,0.3197457363233696,centralized,0.5236354751418295,0.08727257919030491,8.478411647690859e-09,3,6.0,0,16,0.15049703873233286,1.0,True,probability_greedy,0,open_terrain,terrain_biased,centralized,4,120.0,thermal_visual,6
5.0,57.48987854251012,0.7471158504322882,0.7295238095238096,24.000000000000014,0,0,6,4,1.409168081494058,0.29507235200127974,centralized,0.48062968379300397,0.09612593675860079,2.3765472239254325e-07,4,5.0,0,13,0.11013688066319641,1.0,True,auction_based,0,open_terrain,terrain_biased,centralized,4,120.0,thermal_visual,5
5.0,57.48987854251012,0.7416248530584352,0.7305502846299811,24.000000000000014,0,0,5,4,1.3552631578947365,0.3219066807243662,centralized,0.4724509882012047,0.09449019764024094,2.0181612786452198e-07,3,5.0,0,14,0.12629030977677733,1.0,True,information_gain,0,open_terrain,terrain_biased,centralized,4,120.0,thermal_visual,5
,100.0,1.0000000000000004,0.9419779187221048,194.0,0,2,109,84,1.2503493897326003,0.22985069898930227,centralized,2.3377975540245926,0.1357322654162554,0.00034663649559088934,1,,3,153,0.4290110406389477,0.0,False,random_sweep,0,open_terrain,terrain_biased,centralized,4,80.0,thermal_visual,45
,91.49797570850203,0.95291288434809,0.9404008438818565,208.5,2,4,43,23,1.0429309957293778,0.20135977942510772,centralized,2.1258441870298688,0.05026809574402697,2.4577658082578232e-09,3,,5,123,0.3513010742745267,0.5,False,sector_search,0,open_terrain,terrain_biased,centralized,4,80.0,thermal_visual,45
6.0,61.53846153846154,0.7964042965525843,0.7583465818759937,27.600000000000023,0,0,6,5,1.4645669291338583,0.3197457363233696,centralized,0.5236354751418295,0.08727257919030491,8.478411647690859e-09,3,6.0,0,16,0.15049703873233286,1.0,True,probability_greedy,0,open_terrain,terrain_biased,centralized,4,80.0,thermal_visual,6
5.0,57.48987854251012,0.7471158504322882,0.7295238095238096,24.000000000000014,0,0,6,4,1.409168081494058,0.29507235200127974,centralized,0.48062968379300397,0.09612593675860079,2.3765472239254325e-07,4,5.0,0,13,0.11013688066319641,1.0,True,auction_based,0,open_terrain,terrain_biased,centralized,4,80.0,thermal_visual,5
5.0,57.48987854251012,0.7416248530584352,0.7305502846299811,24.000000000000014,0,0,5,4,1.3552631578947365,0.3219066807243662,centralized,0.4724509882012047,0.09449019764024094,2.0181612786452198e-07,3,5.0,0,14,0.12629030977677733,1.0,True,information_gain,0,open_terrain,terrain_biased,centralized,4,80.0,thermal_visual,5
,100.0,1.0000000000000004,0.9448660714285714,198.5000000000001,0,0,53,0,1.2638329979879286,0.15641464974590938,decentralized,2.0907888969911443,0.07264562776336608,0.006233431778633572,1,,8,176,0.4275669642857144,1.0,False,random_sweep,0,open_terrain,terrain_biased,decentralized,4,120.0,thermal_visual,45
,98.78542510121457,0.9956867675211816,0.9402253797158255,218.5000000000001,0,0,107,1,0.8685162846803375,0.16568274101884603,decentralized,3.435526008009167,0.0772243111163921,9.636839566441286e-05,18,,6,160,0.417741561154233,1.0,False,sector_search,0,open_terrain,terrain_biased,decentralized,4,120.0,thermal_visual,45
,100.0,1.0000000000000004,0.9399902818270165,191.70000000000016,0,0,126,4,1.2177045805455484,0.18500344798478763,decentralized,2.614581887138187,0.10777315265024148,3.4809796792696017e-05,2,,9,124,0.4300048590864918,1.0,False,probability_greedy,0,open_terrain,terrain_biased,decentralized,4,120.0,thermal_visual,45
5.0,57.48987854251012,0.7361447462434619,0.7365491651205937,22.40000000000002,0,0,5,0,1.3381410256410258,0.319778949039776,decentralized,0.4792831471217225,0.09755065998610153,3.490506976016558e-08,3,5.0,0,12,0.12329086953147103,1.0,True,auction_based,0,open_terrain,terrain_biased,decentralized,4,120.0,thermal_visual,5
24.0,93.92712550607287,0.986647901916897,0.9075697211155378,109.60000000000005,0,0,20,0,1.3087674714104198,0.38641577585679737,decentralized,1.2279621760349206,0.05695480393755644,4.4410089113352135e-09,2,24.0,4,60,0.4054863945029598,1.0,True,information_gain,0,open_terrain,terrain_biased,decentralized,4,120.0,thermal_visual,24
,99.59514170040485,0.9990081106442796,0.9440527632476688,198.40000000000003,0,3,44,0,1.2838283828382844,0.19639862519615084,decentralized,2.291411882160606,0.06902064241340172,0.1138417194717693,1,,8,153,0.4282728614671706,0.0,False,random_sweep,0,open_terrain,terrain_biased,decentralized,4,80.0,thermal_visual,45
,91.49797570850203,0.95291288434809,0.9404008438818565,208.5,2,4,102,1,1.0429309957293778,0.20135977942510772,decentralized,1.4288806500475788,0.03991319136270809,0.0005912322624078572,18,,5,123,0.344779335144092,0.5,False,sector_search,0,open_terrain,terrain_biased,decentralized,4,80.0,thermal_visual,45
,100.0,1.0000000000000004,0.9405392392874338,189.40000000000003,0,4,98,0,1.243124312431243,0.18958699640599486,decentralized,2.280580771858955,0.10656910175449655,7.122817867745017e-07,2,,10,116,0.4297303803562832,0.0,False,probability_greedy,0,open_terrain,terrain_biased,decentralized,4,80.0,thermal_visual,45
5.0,57.48987854251012,0.7361447462434619,0.7365491651205937,22.40000000000002,0,0,5,0,1.3381410256410258,0.319778949039776,decentralized,0.4792831471217225,0.09755065998610153,3.490506976016558e-08,3,5.0,0,12,0.12329086953147103,1.0,True,auction_based,0,open_terrain,terrain_biased,decentralized,4,80.0,thermal_visual,5
24.0,93.92712550607287,0.986647901916897,0.9075697211155378,109.60000000000004,0,0,20,0,1.3056191202644296,0.38641577585679737,decentralized,1.2279621760349206,0.05695480393755644,4.4410089113352135e-09,2,24.0,4,62,0.4054863945029598,1.0,True,information_gain,0,open_terrain,terrain_biased,decentralized,4,80.0,thermal_visual,24
14.0,87.4493927125506,0.9432611779211715,0.8441558441558441,62.700000000000045,0,0,22,15,1.2938230383973293,0.18635579461120153,centralized,1.4540366765910093,0.10497476507775508,1.1045699007295791e-08,1,14.0,1,52,0.35241600504758397,1.0,True,random_sweep,0,open_terrain,stationary_intervals,centralized,4,120.0,thermal_visual,14
,98.78542510121457,0.9956867675211816,0.9402253797158255,218.5000000000001,0,0,49,30,0.8685162846803375,0.16568274101884603,centralized,3.4050696777761496,0.08014982430995937,4.367843167816292e-08,12,,7,160,0.417741561154233,1.0,False,sector_search,0,open_terrain,stationary_intervals,centralized,4,120.0,thermal_visual,45
26.0,100.0,1.0000000000000004,0.9,114.10000000000007,0,0,51,38,1.3284306055390394,0.192581338189246,centralized,2.9518213705812704,0.11983051295034566,1.435470069445753e-10,4,26.0,2,77,0.45000000000000007,1.0,True,probability_greedy,0,open_terrain,stationary_intervals,centralized,4,120.0,thermal_visual,26
,100.0,1.0000000000000004,0.9384039900249377,188.60000000000008,0,0,57,39,1.263005287395531,0.26785207408129424,centralized,1.7272223497968522,0.11392112386466303,9.988758955748252e-06,5,,6,137,0.4307980049875312,1.0,False,auction_based,0,open_terrain,stationary_intervals,centralized,4,120.0,thermal_visual,45
10.0,80.97165991902834,0.9348692606713835,0.813953488372093,45.80000000000001,0,0,13,5,1.3319601785101272,0.35059416594701265,centralized,1.0699143968439442,0.10699143968439442,3.9680337104638305e-07,4,10.0,0,32,0.30273985500423684,1.0,True,information_gain,0,open_terrain,stationary_intervals,centralized,4,120.0,thermal_visual,10
14.0,87.4493927125506,0.9432611779211715,0.8441558441558441,62.700000000000045,0,0,22,15,1.2938230383973293,0.18635579461120153,centralized,1.4540366765910093,0.10497476507775508,1.1045699007295791e-08,1,14.0,1,52,0.35241600504758397,1.0,True,random_sweep,0,open_terrain,stationary_intervals,centralized,4,80.0,thermal_visual,14
,91.49797570850203,0.95291288434809,0.9404008438818565,208.5,2,4,35,22,1.0429309957293778,0.20135977942510772,centralized,2.1450724999848267,0.0480219589690518,3.588792608192603e-07,12,,5,123,0.3686923786223528,0.5,False,sector_search,0,open_terrain,stationary_intervals,centralized,4,80.0,thermal_visual,45
26.0,100.0,1.0000000000000004,0.9,114.10000000000005,0,0,51,38,1.3284306055390394,0.192581338189246,centralized,2.9518213705812704,0.11983051295034566,1.435470069445753e-10,4,26.0,2,77,0.45000000000000007,1.0,True,probability_greedy,0,open_terrain,stationary_intervals,centralized,4,80.0,thermal_visual,26
,100.0,1.0000000000000004,0.9359937807722207,189.60000000000005,0,0,56,39,1.246598639455782,0.2963385194246321,centralized,1.616513565502438,0.1126431013232821,7.0503514973318e-06,5,,6,144,0.43200310961388966,1.0,False,auction_based,0,open_terrain,stationary_intervals,centralized,4,80.0,thermal_visual,45
10.0,80.97165991902834,0.9348692606713835,0.8129092609915809,46.000000000000014,0,0,13,5,1.3250944043940955,0.3579782688432836,centralized,1.051061663107558,0.1051061663107558,4.140045059076405e-07,4,10.0,0,32,0.30326196869449296,1.0,True,information_gain,0,open_terrain,stationary_intervals,centralized,4,80.0,thermal_visual,10
7.0,78.5425101214575,0.8574686859275431,0.692063492063492,32.60000000000001,0,0,22,0,1.14300903774588,0.19601832042080677,decentralized,0.9154926163313037,0.13078465947590054,6.600603766848752e-05,1,7.0,1,23,0.339393355182829,1.0,True,random_sweep,0,open_terrain,stationary_intervals,decentralized,4,120.0,thermal_visual,7
,98.78542510121457,0.9956867675211816,0.9402253797158255,218.5000000000001,0,0,106,0,0.8685162846803375,0.16568274101884603,decentralized,3.5771308974516156,0.08054064572707184,6.340422943452819e-08,7,,6,160,0.417741561154233,1.0,False,sector_search,0,open_terrain,stationary_intervals,decentralized,4,120.0,thermal_visual,45
9.0,80.16194331983806,0.9315797173063687,0.7933194154488518,39.60000000000004,0,0,9,0,1.3253612356751372,0.30501861369013256,decentralized,0.6604075203943767,0.07598766742830056,3.043100189477254e-06,2,9.0,1,27,0.3149597254739547,1.0,True,probability_greedy,0,open_terrain,stationary_intervals,decentralized,4,120.0,thermal_visual,9
